trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6, 'e': 0.99}",20,0,-172.61965608253516,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",0
2,False,"{'a': 0.6, 'e': 0.9801}",35,17,-99.88807636286045,"{0: 12, 1: 2, 2: 1, 3: 1, 4: 2}",1
3,False,"{'a': 0.6, 'e': 0.9702989999999999}",20,0,-157.0934738449005,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
4,False,"{'a': 0.6, 'e': 0.96059601}",20,0,-64.29496938951158,"{0: 11, 1: 5, 2: 3, 3: 1, 4: 0}",0
5,False,"{'a': 0.6, 'e': 0.9509900498999999}",20,3,-99.58745005413103,"{0: 7, 1: 2, 2: 6, 3: 2, 4: 0}",1
6,False,"{'a': 0.6, 'e': 0.9414801494009999}",20,0,-94.82007366374009,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
7,False,"{'a': 0.6, 'e': 0.9320653479069899}",30,0,-174.55120543737226,"{0: 19, 1: 4, 2: 3, 3: 1, 4: 3}",0
8,False,"{'a': 0.6, 'e': 0.92274469442792}",25,0,-140.9991910265413,"{0: 13, 1: 2, 2: 7, 3: 2, 4: 1}",0
9,False,"{'a': 0.6, 'e': 0.9135172474836407}",25,0,-102.37266376958901,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
10,False,"{'a': 0.6, 'e': 0.9043820750088043}",20,0,-103.16569165728636,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
11,False,"{'a': 0.6, 'e': 0.8953382542587163}",20,0,-27.673289460873924,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
12,False,"{'a': 0.6, 'e': 0.8863848717161291}",20,13,-3.894890576039537,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.6, 'e': 0.8775210229989678}",20,0,-106.82758778321636,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
14,False,"{'a': 0.6, 'e': 0.8687458127689781}",30,21,-12.142207654240291,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.6, 'e': 0.8600583546412883}",25,18,6.4136316202699115,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.6, 'e': 0.8514577710948754}",25,0,-68.14880102932153,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
17,False,"{'a': 0.6, 'e': 0.8429431933839266}",20,0,-95.87707213558461,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
18,False,"{'a': 0.6, 'e': 0.8345137614500874}",25,0,-203.34096239216294,"{0: 16, 1: 0, 2: 4, 3: 1, 4: 4}",0
