trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-297.28681957583666,"{0: 14, 1: 1, 2: 8, 3: 3, 4: 4}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-111.31732272775321,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-221.27433299398714,"{0: 17, 1: 2, 2: 5, 3: 3, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-84.63803356379705,"{0: 12, 1: 3, 2: 2, 3: 3, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-114.80238310760075,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-78.62460835535714,"{0: 13, 1: 7, 2: 4, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,4,-110.63191547109042,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 1}",1
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-159.63589225205385,"{0: 16, 1: 6, 2: 5, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-124.73571654248389,"{0: 11, 1: 5, 2: 1, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-61.841131382460674,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-140.41054421185927,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-127.90605159741209,"{0: 18, 1: 3, 2: 7, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-67.6491019561718,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-74.68226740702603,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-217.3761124879856,"{0: 13, 1: 3, 2: 2, 3: 4, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-83.40433328328902,"{0: 19, 1: 1, 2: 2, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,3,-74.05123348395735,"{0: 18, 1: 2, 2: 5, 3: 2, 4: 0}",1
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-97.60801121027379,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-199.190146811249,"{0: 16, 1: 4, 2: 6, 3: 1, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-100.97638196334212,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-167.71264568484497,"{0: 9, 1: 2, 2: 3, 3: 5, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,2,-89.1543277249182,"{0: 9, 1: 3, 2: 5, 3: 0, 4: 1}",1
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-146.81774910323563,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-102.10407620445463,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-122.61060253964398,"{0: 12, 1: 5, 2: 7, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-136.43730280585595,"{0: 20, 1: 4, 2: 2, 3: 2, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,1,-114.33207531226056,"{0: 11, 1: 4, 2: 1, 3: 1, 4: 2}",1
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-178.56400448847342,"{0: 14, 1: 5, 2: 7, 3: 3, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-138.43538153332483,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-77.946497781585,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
