trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-9.817127671209462,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,9,-66.93770429355916,"{0: 5, 1: 2, 2: 3, 3: 0, 4: 1}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-118.13252179299778,"{0: 21, 1: 1, 2: 4, 3: 3, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-57.244732773384506,"{0: 16, 1: 5, 2: 2, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,3,-65.78715328217703,"{0: 10, 1: 1, 2: 4, 3: 2, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-182.50065047849958,"{0: 21, 1: 2, 2: 2, 3: 1, 4: 4}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-119.92293651983357,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,15,-30.957705184846905,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-131.90473086115887,"{0: 19, 1: 1, 2: 1, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,9,-61.537767944456284,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-91.61422685813986,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,5,-107.43507735852039,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,7,5.5939836503877345,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,8,-63.7441684491763,"{0: 15, 1: 0, 2: 5, 3: 2, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,7,-22.25079991607246,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-52.22909344894377,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-29.41219432683238,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,11,8.233378141384348,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,15,-11.799225977247161,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,16,-44.64404809410964,"{0: 11, 1: 1, 2: 0, 3: 1, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",30,4,-38.78633931747679,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 2}",1
2,True,"{'a': 0, 'e': 0}",20,0,-2.807216097337786,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",35,19,14.334170096173555,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,6,-23.62453848969141,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,0,1.7032845887949855,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,0,-56.36443939786925,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",35,13,-26.678460494551196,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 1}",1
8,True,"{'a': 0, 'e': 0}",20,9,-38.132677133811804,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
9,True,"{'a': 0, 'e': 0}",30,13,-95.40432617601166,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 2}",1
10,True,"{'a': 0, 'e': 0}",25,0,-11.790969031060875,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
